============================================================================================================================================
S3.20 Fixed-Point Conversion Verification
Format: 1 sign bit + 3 integer bits + 20 fractional bits = 24 bits
Range: -8.0 to +7.999999...
============================================================================================================================================

Index   Original       Hex       Binary (S|III|FRAC...)        Recovered      Error          
210     0.0275010671   0x0070A5   0|000|0000011100...           0.0275011063   3.92e-08       
211     0.2507663667   0x040324   0|000|0100000000...           0.2507667542   3.87e-07       
212     -0.2479895502  0x83F7C4   1|000|0011111101...           -0.2479896545  1.04e-07       
213     -0.2214130461  0x838AE8   1|000|0011100010...           -0.2214126587  3.87e-07       
214     0.2065327317   0x034DF5   0|000|0011010011...           0.2065324783   2.53e-07       
215     -0.0886558294  0x816B22   1|000|0001011010...           -0.0886554718  3.58e-07       
216     0.1476663500   0x025CD7   0|000|0010010111...           0.1476659775   3.73e-07       
217     -0.0400447734  0x80A406   1|000|0000101001...           -0.0400447845  1.11e-08       
218     -0.2498766631  0x83FF7F   1|000|0011111111...           -0.2498769760  3.13e-07       
219     -0.1558499932  0x827E5D   1|000|0010011111...           -0.1558504105  4.17e-07       
220     -0.2112529874  0x83614B   1|000|0011011000...           -0.2112531662  1.79e-07       
221     -0.0660250708  0x810E70   1|000|0001000011...           -0.0660247803  2.91e-07       
222     -0.1170968041  0x81DFA1   1|000|0001110111...           -0.1170969009  9.68e-08       
223     -0.2900530696  0x84A40F   1|000|0100101001...           -0.2900533676  2.98e-07       
224     -0.2534413040  0x840E18   1|000|0100000011...           -0.2534408569  4.47e-07       
225     0.1711191237   0x02BCE7   0|000|0010101111...           0.1711187363   3.87e-07       
226     0.0657555014   0x010D56   0|000|0001000011...           0.0657558441   3.43e-07       
227     -0.2666824460  0x844455   1|000|0100010001...           -0.2666826248  1.79e-07       
228     -0.1131529808  0x81CF79   1|000|0001110011...           -0.1131525040  4.77e-07       
229     0.2283162624   0x03A72F   0|000|0011101001...           0.2283163071   4.47e-08       
230     0.1595835984   0x028DA8   0|000|0010100011...           0.1595840454   4.47e-07       
231     -0.0019884091  0x800825   1|000|0000000010...           -0.0019884109  1.85e-09       
232     0.0424867272   0x00AE07   0|000|0000101011...           0.0424871445   4.17e-07       
233     -0.1897698641  0x83094C   1|000|0011000010...           -0.1897697449  1.19e-07       
234     -0.0530651510  0x80D95B   1|000|0000110110...           -0.0530653000  1.49e-07       
235     0.0826575384   0x015291   0|000|0001010100...           0.0826578140   2.76e-07       
236     0.2638131976   0x043894   0|000|0100001110...           0.2638130188   1.79e-07       
237     -0.0695961937  0x811D11   1|000|0001000111...           -0.0695962906  9.69e-08       
238     -0.1795889735  0x82DF99   1|000|0010110111...           -0.1795892715  2.98e-07       
239     -0.2045224458  0x8345B9   1|000|0011010001...           -0.2045221329  3.13e-07       
240     -0.1674846560  0x82AE04   1|000|0010101011...           -0.1674842834  3.73e-07       
241     0.1852974594   0x02F6FA   0|000|0010111101...           0.1852970123   4.47e-07       
242     -0.1601004004  0x828FC5   1|000|0010100011...           -0.1600999832  4.17e-07       
243     -0.1880777478  0x83025E   1|000|0011000000...           -0.1880779266  1.79e-07       
244     0.3473449349   0x058EBA   0|000|0101100011...           0.3473453522   4.17e-07       
245     -0.2332827002  0x83BB87   1|000|0011101110...           -0.2332830429  3.43e-07       
246     -0.0726768970  0x8129AF   1|000|0001001010...           -0.0726766586  2.38e-07       
247     -0.1921702623  0x831321   1|000|0011000100...           -0.1921701431  1.19e-07       
248     0.0078841532   0x00204B   0|000|0000001000...           0.0078840256   1.28e-07       
249     -0.2140118182  0x836C98   1|000|0011011011...           -0.2140121460  3.28e-07       
250     -0.1999141276  0x8332D9   1|000|0011001100...           -0.1999139786  1.49e-07       
251     0.3139334917   0x0505DF   0|000|0101000001...           0.3139333725   1.19e-07       
252     0.0861279070   0x0160C8   0|000|0001011000...           0.0861282349   3.28e-07       
253     0.1772844344   0x02D628   0|000|0010110101...           0.1772842407   1.94e-07       
254     0.0497566648   0x00CBCE   0|000|0000110010...           0.0497570038   3.39e-07       
255     -0.1662722826  0x82A90D   1|000|0010101010...           -0.1662721634  1.19e-07       
256     0.0278920345   0x00723F   0|000|0000011100...           0.0278921127   7.82e-08       
257     0.0321024843   0x00837E   0|000|0000100000...           0.0321025848   1.01e-07       
258     -0.1946463436  0x831D45   1|000|0011000111...           -0.1946458817  4.62e-07       
259     0.1935553253   0x0318CD   0|000|0011000110...           0.1935548782   4.47e-07       
260     -0.1906684637  0x830CFA   1|000|0011000011...           -0.1906681061  3.58e-07       
261     -0.1575027257  0x828522   1|000|0010100001...           -0.1575031281  4.02e-07       
262     -0.1884907931  0x83040F   1|000|0011000001...           -0.1884908676  7.45e-08       
263     -0.1815442592  0x82E79B   1|000|0010111001...           -0.1815443039  4.47e-08       
264     0.1483593583   0x025FAE   0|000|0010010111...           0.1483592987   5.96e-08       
265     0.0304310378   0x007CA5   0|000|0000011111...           0.0304307938   2.44e-07       
266     -0.1644063592  0x82A169   1|000|0010101000...           -0.1644067764  4.17e-07       
267     0.1671492159   0x02ACA5   0|000|0010101011...           0.1671495438   3.28e-07       
268     -0.1007505953  0x819CAD   1|000|0001100111...           -0.1007509232  3.28e-07       
269     0.1165268645   0x01DD4B   0|000|0001110111...           0.1165266037   2.61e-07       
270     -0.2400030047  0x83D70D   1|000|0011110101...           -0.2400026321  3.73e-07       
271     -0.0512649864  0x80D1FB   1|000|0000110100...           -0.0512647629  2.24e-07       
272     0.0090209208   0x0024F3   0|000|0000001001...           0.0090208054   1.15e-07       
273     -0.1069249809  0x81B5F7   1|000|0001101101...           -0.1069250107  2.98e-08       
274     0.1236774251   0x01FA95   0|000|0001111110...           0.1236772537   1.71e-07       
275     -0.0229540896  0x805E05   1|000|0000010111...           -0.0229539871  1.02e-07       
276     0.1355564594   0x022B3D   0|000|0010001010...           0.1355562210   2.38e-07       
277     0.0713098869   0x012416   0|000|0001001001...           0.0713100433   1.56e-07       
278     0.2756883800   0x046938   0|000|0100011010...           0.2756881714   2.09e-07       
279     0.0454136766   0x00BA04   0|000|0000101110...           0.0454139709   2.94e-07       
280     -0.2297133207  0x83ACE8   1|000|0011101011...           -0.2297134399  1.19e-07       
281     0.1561330259   0x027F85   0|000|0010011111...           0.1561326981   3.28e-07       
282     -0.0250789747  0x8066B9   1|000|0000011001...           -0.0250787735  2.01e-07       
283     -0.2280590534  0x83A621   1|000|0011101001...           -0.2280588150  2.38e-07       
284     0.0122881476   0x003255   0|000|0000001100...           0.0122880936   5.40e-08       
285     -0.2056515366  0x834A59   1|000|0011010010...           -0.2056512833  2.53e-07       
286     0.1982392818   0x032BFD   0|000|0011001010...           0.1982393265   4.47e-08       
287     0.2637239099   0x043837   0|000|0100001110...           0.2637243271   4.17e-07       
288     -0.3162943721  0x850F8B   1|000|0101000011...           -0.3162946701  2.98e-07       
289     0.0702443644   0x011FB9   0|000|0001000111...           0.0702447891   4.25e-07       
290     -0.3383168876  0x8569BF   1|000|0101011010...           -0.3383169174  2.98e-08       
291     0.1572166681   0x0283F6   0|000|0010100000...           0.1572170258   3.58e-07       
292     0.0730989128   0x012B6A   0|000|0001001010...           0.0730991364   2.24e-07       
293     -0.3485594690  0x8593B3   1|000|0101100100...           -0.3485593796  8.94e-08       
294     0.3545536995   0x05AC41   0|000|0101101011...           0.3545541763   4.77e-07       
295     -0.0815781876  0x814E25   1|000|0001010011...           -0.0815782547  6.71e-08       
296     -0.0179826207  0x8049A8   1|000|0000010010...           -0.0179824829  1.38e-07       
297     -0.2616111934  0x842F8F   1|000|0100001011...           -0.2616109848  2.09e-07       
298     0.3582025766   0x05BB33   0|000|0101101110...           0.3582029343   3.58e-07       
299     -0.6444630027  0x8A4FB8   1|000|1010010011...           -0.6444625854  4.17e-07       
300     0.1389413327   0x02391B   0|000|0010001110...           0.1389417648   4.32e-07       
301     -0.0896864533  0x816F5B   1|000|0001011011...           -0.0896863937  5.96e-08       
302     -0.0958705097  0x8188B0   1|000|0001100010...           -0.0958709717  4.62e-07       
303     -0.0580092333  0x80ED9B   1|000|0000111011...           -0.0580091476  8.57e-08       
304     0.1521963626   0x026F65   0|000|0010011011...           0.1521959305   4.32e-07       
305     0.2094306350   0x0359D4   0|000|0011010110...           0.2094306946   5.96e-08       
306     0.0411020629   0x00A85B   0|000|0000101010...           0.0411024094   3.46e-07       
307     0.0917876959   0x0177F6   0|000|0001011101...           0.0917873383   3.58e-07       
308     0.0424035527   0x00ADAF   0|000|0000101011...           0.0424032211   3.32e-07       
309     0.1429839730   0x0249AA   0|000|0010010010...           0.1429843903   4.17e-07       
310     -0.1228958443  0x81F762   1|000|0001111101...           -0.1228961945  3.50e-07       
311     0.1266240478   0x0206A7   0|000|0010000001...           0.1266241074   5.96e-08       
312     0.0986685380   0x019425   0|000|0001100101...           0.0986680984   4.40e-07       
313     0.0196790397   0x00509B   0|000|0000010100...           0.0196790695   2.98e-08       
314     -0.0767715350  0x813A75   1|000|0001001110...           -0.0767717361  2.01e-07       
315     0.1393214911   0x023AA9   0|000|0010001110...           0.1393213272   1.64e-07       
316     0.0659282058   0x010E0B   0|000|0001000011...           0.0659284592   2.53e-07       
317     -0.2832067013  0x848804   1|000|0100100010...           -0.2832069397  2.38e-07       
318     0.0271182787   0x006F14   0|000|0000011011...           0.0271186829   4.04e-07       
319     0.0638101101   0x01055E   0|000|0001000001...           0.0638103485   2.38e-07       
