============================================================================================================================================
S3.20 Fixed-Point Conversion Verification
Format: 1 sign bit + 3 integer bits + 20 fractional bits = 24 bits
Range: -8.0 to +7.999999...
============================================================================================================================================

Index   Original       Hex       Binary (S|III|FRAC...)        Recovered      Error          
31854   -0.0558102056  0x80E499   1|000|0000111001...           -0.0558099747  2.31e-07       
31855   0.0882300064   0x016964   0|000|0001011010...           0.0882301331   1.27e-07       
31856   0.0103822500   0x002A87   0|000|0000001010...           0.0103826523   4.02e-07       
31857   -0.0029156955  0x800BF1   1|000|0000000010...           -0.0029153824  3.13e-07       
31858   -0.1912015676  0x830F29   1|000|0011000011...           -0.1912012100  3.58e-07       
31859   0.1005863696   0x019C00   0|000|0001100111...           0.1005859375   4.32e-07       
31860   -0.2242960930  0x8396B8   1|000|0011100101...           -0.2242965698  4.77e-07       
31861   -0.2161096036  0x83752F   1|000|0011011101...           -0.2161092758  3.28e-07       
31862   -0.0934728608  0x817EDD   1|000|0001011111...           -0.0934724808  3.80e-07       
31863   -0.1577867568  0x82864B   1|000|0010100001...           -0.1577863693  3.87e-07       
31864   0.0531508625   0x00D9B5   0|000|0000110110...           0.0531511307   2.68e-07       
31865   -0.0300256126  0x807AFC   1|000|0000011110...           -0.0300254822  1.30e-07       
31866   -0.2292540520  0x83AB06   1|000|0011101010...           -0.2292537689  2.83e-07       
31867   0.0719805434   0x0126D5   0|000|0001001001...           0.0719804764   6.70e-08       
31868   0.0581539497   0x00EE33   0|000|0000111011...           0.0581541061   1.56e-07       
31869   0.0384272113   0x009D66   0|000|0000100111...           0.0384273529   1.42e-07       
31870   -0.1412594616  0x824299   1|000|0010010000...           -0.1412591934  2.68e-07       
31871   -0.0455369242  0x80BA85   1|000|0000101110...           -0.0455369949  7.07e-08       
31872   0.0190040767   0x004DD7   0|000|0000010011...           0.0190038681   2.09e-07       
31873   -0.1722935587  0x82C1B7   1|000|0010110000...           -0.1722936630  1.04e-07       
31874   0.0064892354   0x001A94   0|000|0000000110...           0.0064888000   4.35e-07       
31875   -0.2420193553  0x83DF50   1|000|0011110111...           -0.2420196533  2.98e-07       
31876   0.0516291149   0x00D379   0|000|0000110100...           0.0516290665   4.84e-08       
31877   0.0335936509   0x008999   0|000|0000100010...           0.0335931778   4.73e-07       
31878   0.1335358322   0x0222F6   0|000|0010001000...           0.1335353851   4.47e-07       
31879   0.1633514911   0x029D16   0|000|0010100111...           0.1633510590   4.32e-07       
31880   -0.0250644274  0x8066AA   1|000|0000011001...           -0.0250644684  4.10e-08       
31881   0.0298347417   0x007A34   0|000|0000011110...           0.0298347473   5.61e-09       
31882   -0.0417996086  0x80AB36   1|000|0000101010...           -0.0417995453  6.33e-08       
31883   -0.0411271900  0x80A875   1|000|0000101010...           -0.0411272049  1.49e-08       
31884   -0.0472199172  0x80C16A   1|000|0000110000...           -0.0472202301  3.13e-07       
31885   0.0155673139   0x003FC4   0|000|0000001111...           0.0155677795   4.66e-07       
31886   0.0463486500   0x00BDD8   0|000|0000101111...           0.0463485718   7.82e-08       
31887   0.2753101587   0x0467AC   0|000|0100011001...           0.2753105164   3.58e-07       
31888   -0.2319976240  0x83B643   1|000|0011101101...           -0.2319974899  1.34e-07       
31889   0.0830533355   0x015430   0|000|0001010101...           0.0830535889   2.53e-07       
31890   -0.1949279010  0x831E6D   1|000|0011000111...           -0.1949281693  2.68e-07       
31891   0.1222911701   0x01F4E8   0|000|0001111101...           0.1222915649   3.95e-07       
31892   0.0549352169   0x00E104   0|000|0000111000...           0.0549354553   2.38e-07       
31893   -0.2909808755  0x84A7DC   1|000|0100101001...           -0.2909812927  4.17e-07       
31894   0.2801337540   0x047B6E   0|000|0100011110...           0.2801342010   4.47e-07       
31895   -0.2304749489  0x83B007   1|000|0011101100...           -0.2304754257  4.77e-07       
31896   0.1055304855   0x01B041   0|000|0001101100...           0.1055307388   2.53e-07       
31897   -0.2758276463  0x8469CA   1|000|0100011010...           -0.2758274078  2.38e-07       
31898   0.0872537792   0x016564   0|000|0001011001...           0.0872535706   2.09e-07       
31899   -0.3636629581  0x85D190   1|000|0101110100...           -0.3636627197  2.38e-07       
31900   -0.0830777586  0x815449   1|000|0001010101...           -0.0830774307  3.28e-07       
31901   0.0771370456   0x013BF4   0|000|0001001110...           0.0771369934   5.22e-08       
31902   0.0921535715   0x017976   0|000|0001011110...           0.0921535492   2.23e-08       
31903   -0.0547863469  0x80E068   1|000|0000111000...           -0.0547866821  3.35e-07       
31904   0.1638631374   0x029F2F   0|000|0010100111...           0.1638631821   4.47e-08       
31905   0.1590405852   0x028B6E   0|000|0010100010...           0.1590404510   1.34e-07       
31906   -0.0978187248  0x8190AA   1|000|0001100100...           -0.0978183746  3.50e-07       
31907   -0.0039229705  0x801012   1|000|0000000100...           -0.0039234161  4.46e-07       
31908   -0.0337346382  0x808A2D   1|000|0000100010...           -0.0337343216  3.17e-07       
31909   -0.0698349029  0x811E0B   1|000|0001000111...           -0.0698347092  1.94e-07       
31910   0.0522885732   0x00D62D   0|000|0000110101...           0.0522890091   4.36e-07       
31911   -0.1330401897  0x8220EF   1|000|0010001000...           -0.1330404282  2.38e-07       
31912   -0.0934417546  0x817EBD   1|000|0001011111...           -0.0934419632  2.09e-07       
31913   -0.0240231585  0x806266   1|000|0000011000...           -0.0240230560  1.02e-07       
31914   -0.0118271187  0x803072   1|000|0000001100...           -0.0118274689  3.50e-07       
31915   -0.0428667031  0x80AF95   1|000|0000101011...           -0.0428667068  3.75e-09       
31916   0.0673655942   0x0113EE   0|000|0001000100...           0.0673656464   5.22e-08       
31917   0.0574889518   0x00EB7A   0|000|0000111010...           0.0574893951   4.43e-07       
31918   -0.0917426571  0x8177C7   1|000|0001011101...           -0.0917425156  1.42e-07       
31919   -0.0391148850  0x80A037   1|000|0000101000...           -0.0391149521  6.71e-08       
31920   -0.0624072626  0x80FF9F   1|000|0000111111...           -0.0624074936  2.31e-07       
31921   0.0273261033   0x006FED   0|000|0000011011...           0.0273256302   4.73e-07       
31922   -0.0233259890  0x805F8B   1|000|0000010111...           -0.0233259201  6.89e-08       
31923   0.0227838885   0x005D53   0|000|0000010111...           0.0227842331   3.45e-07       
31924   -0.1215710416  0x81F1F4   1|000|0001111100...           -0.1215705872  4.54e-07       
31925   -0.0305014197  0x807CEF   1|000|0000011111...           -0.0305013657  5.40e-08       
31926   0.0716241226   0x01255F   0|000|0001001001...           0.0716238022   3.20e-07       
31927   -0.0876296237  0x8166EE   1|000|0001011001...           -0.0876293182  3.05e-07       
31928   -0.1209298372  0x81EF54   1|000|0001111011...           -0.1209297180  1.19e-07       
31929   -0.1301915795  0x821544   1|000|0010000101...           -0.1301918030  2.23e-07       
31930   -0.0055584670  0x8016C4   1|000|0000000101...           -0.0055580139  4.53e-07       
31931   -0.0323821679  0x8084A3   1|000|0000100001...           -0.0323820114  1.56e-07       
31932   -0.0597187951  0x80F49C   1|000|0000111101...           -0.0597190857  2.91e-07       
31933   -0.0619432889  0x80FDB8   1|000|0000111111...           -0.0619430542  2.35e-07       
31934   0.0895625204   0x016ED9   0|000|0001011011...           0.0895624161   1.04e-07       
31935   0.0105890045   0x002B5F   0|000|0000001010...           0.0105886459   3.59e-07       
31936   0.0377740785   0x009AB9   0|000|0000100110...           0.0377740860   7.50e-09       
31937   -0.0921179205  0x817951   1|000|0001011110...           -0.0921182632  3.43e-07       
31938   -0.0380622037  0x809BE7   1|000|0000100110...           -0.0380620956  1.08e-07       
31939   0.2668290138   0x0444EE   0|000|0100010001...           0.2668285370   4.77e-07       
31940   -0.0110270698  0x802D2B   1|000|0000001011...           -0.0110273361  2.66e-07       
31941   -0.0788093135  0x8142CE   1|000|0001010000...           -0.0788097382  4.25e-07       
31942   -0.0263020303  0x806BBC   1|000|0000011010...           -0.0263023376  3.07e-07       
31943   -0.1404657662  0x823F59   1|000|0010001111...           -0.1404657364  2.98e-08       
31944   -0.0118274996  0x803072   1|000|0000001100...           -0.0118274689  3.07e-08       
31945   -0.0744034871  0x8130C2   1|000|0001001100...           -0.0744037628  2.76e-07       
31946   -0.1274543107  0x820A0E   1|000|0010000010...           -0.1274547577  4.47e-07       
31947   -0.0601372570  0x80F652   1|000|0000111101...           -0.0601367950  4.62e-07       
31948   -0.0125558646  0x80336E   1|000|0000001100...           -0.0125560760  2.11e-07       
31949   0.0959022418   0x0188D1   0|000|0001100010...           0.0959024429   2.01e-07       
31950   -0.0900574252  0x8170E0   1|000|0001011100...           -0.0900573730  5.22e-08       
31951   -0.0808847100  0x814B4E   1|000|0001010010...           -0.0808849335  2.23e-07       
31952   -0.0413664766  0x80A970   1|000|0000101010...           -0.0413665771  1.01e-07       
31953   -0.0765426010  0x813985   1|000|0001001110...           -0.0765428543  2.53e-07       
31954   0.0122421216   0x003225   0|000|0000001100...           0.0122423172   1.96e-07       
31955   -0.1346244514  0x82276C   1|000|0010001001...           -0.1346244812  2.98e-08       
31956   -0.0135968067  0x8037B1   1|000|0000001101...           -0.0135965347  2.72e-07       
31957   0.0760777518   0x01379D   0|000|0001001101...           0.0760774612   2.91e-07       
31958   0.0458356738   0x00BBBE   0|000|0000101110...           0.0458354950   1.79e-07       
31959   0.1059394106   0x01B1EE   0|000|0001101100...           0.1059398651   4.55e-07       
31960   -0.0870391130  0x816483   1|000|0001011001...           -0.0870389938  1.19e-07       
31961   0.0061743315   0x00194A   0|000|0000000110...           0.0061740875   2.44e-07       
31962   -0.1059843302  0x81B21D   1|000|0001101100...           -0.1059846878  3.58e-07       
31963   0.0554235429   0x00E304   0|000|0000111000...           0.0554237366   1.94e-07       
31964   -0.0846258625  0x815AA1   1|000|0001010110...           -0.0846261978  3.35e-07       
31965   0.0242211781   0x006336   0|000|0000011000...           0.0242214203   2.42e-07       
31966   -0.0258412752  0x8069D9   1|000|0000011010...           -0.0258417130  4.38e-07       
31967   -0.1008336321  0x819D04   1|000|0001100111...           -0.1008338928  2.61e-07       
31968   0.1219997108   0x01F3B6   0|000|0001111100...           0.1219997406   2.98e-08       
31969   -0.0019468355  0x8007F9   1|000|0000000001...           -0.0019464493  3.86e-07       
31970   -0.0066631651  0x801B4B   1|000|0000000110...           -0.0066633224  1.57e-07       
31971   0.0211162698   0x00567E   0|000|0000010101...           0.0211162567   1.31e-08       
31972   -0.0432341956  0x80B116   1|000|0000101100...           -0.0432338715  3.24e-07       
31973   -0.0491309129  0x80C93D   1|000|0000110010...           -0.0491304398  4.73e-07       
31974   -0.0219346751  0x8059D8   1|000|0000010110...           -0.0219345093  1.66e-07       
31975   -0.0053447965  0x8015E4   1|000|0000000101...           -0.0053443909  4.06e-07       
31976   -0.0554842055  0x80E343   1|000|0000111000...           -0.0554838181  3.87e-07       
31977   -0.0725056753  0x8128FC   1|000|0001001010...           -0.0725059509  2.76e-07       
31978   -0.0569576807  0x80E94C   1|000|0000111010...           -0.0569572449  4.36e-07       
31979   0.0472052917   0x00C15A   0|000|0000110000...           0.0472049713   3.20e-07       
31980   0.0764083564   0x0138F8   0|000|0001001110...           0.0764083862   2.98e-08       
31981   0.0690280646   0x011ABD   0|000|0001000110...           0.0690279007   1.64e-07       
31982   0.0509760156   0x00D0CC   0|000|0000110100...           0.0509757996   2.16e-07       
31983   0.0240646619   0x006292   0|000|0000011000...           0.0240650177   3.56e-07       
31984   -0.0774325877  0x813D2A   1|000|0001001111...           -0.0774326324  4.47e-08       
31985   -0.0649938956  0x810A37   1|000|0001000010...           -0.0649938583  3.73e-08       
31986   0.0444819480   0x00B633   0|000|0000101101...           0.0444822311   2.83e-07       
31987   0.1126426905   0x01CD62   0|000|0001110011...           0.1126422882   4.02e-07       
31988   -0.0689444691  0x811A66   1|000|0001000110...           -0.0689449310  4.62e-07       
31989   0.0601223521   0x00F643   0|000|0000111101...           0.0601224899   1.38e-07       
31990   -0.0820573345  0x81501B   1|000|0001010100...           -0.0820569992  3.35e-07       
31991   0.0126228388   0x0033B4   0|000|0000001100...           0.0126228333   5.55e-09       
31992   0.0089635691   0x0024B7   0|000|0000001001...           0.0089635849   1.58e-08       
31993   -0.0326846987  0x8085E0   1|000|0000100001...           -0.0326843262  3.73e-07       
31994   -0.0357919447  0x80929B   1|000|0000100100...           -0.0357923508  4.06e-07       
31995   0.0242948197   0x006383   0|000|0000011000...           0.0242948532   3.35e-08       
31996   -0.0332280248  0x80881A   1|000|0000100010...           -0.0332279205  1.04e-07       
31997   0.0493843816   0x00CA47   0|000|0000110010...           0.0493841171   2.64e-07       
31998   0.0112700369   0x002E29   0|000|0000001011...           0.0112695694   4.68e-07       
31999   -0.0833164155  0x815544   1|000|0001010101...           -0.0833168030  3.87e-07       
32000   0.0904656649   0x01728C   0|000|0001011100...           0.0904655457   1.19e-07       
32001   -0.0476927906  0x80C35A   1|000|0000110000...           -0.0476932526  4.62e-07       
32002   -0.0643750951  0x8107AE   1|000|0001000001...           -0.0643749237  1.71e-07       
32003   -0.0075842207  0x801F11   1|000|0000000111...           -0.0075845718  3.51e-07       
32004   0.2397512347   0x03D605   0|000|0011110101...           0.2397508621   3.73e-07       
32005   0.1417512745   0x02449D   0|000|0010010001...           0.1417512894   1.49e-08       
32006   0.0399440005   0x00A39C   0|000|0000101000...           0.0399436951   3.05e-07       
32007   -0.1346870512  0x8227AE   1|000|0010001001...           -0.1346874237  3.73e-07       
32008   0.0376165397   0x009A14   0|000|0000100110...           0.0376167297   1.90e-07       
32009   -0.1402111202  0x823E4E   1|000|0010001111...           -0.1402111053  1.49e-08       
32010   0.1721864045   0x02C147   0|000|0010110000...           0.1721868515   4.47e-07       
32011   0.1532279700   0x02739F   0|000|0010011100...           0.1532278061   1.64e-07       
32012   -0.2943139374  0x84B583   1|000|0100101101...           -0.2943143845  4.47e-07       
32013   -0.0541398935  0x80DDC2   1|000|0000110111...           -0.0541400909  1.97e-07       
32014   0.0969730914   0x018D34   0|000|0001100011...           0.0969734192   3.28e-07       
32015   -0.0007298051  0x8002FD   1|000|0000000000...           -0.0007295609  2.44e-07       
32016   0.0290427655   0x0076F6   0|000|0000011101...           0.0290431976   4.32e-07       
32017   0.0644974336   0x01082E   0|000|0001000010...           0.0644969940   4.40e-07       
32018   -0.1799887866  0x82E13C   1|000|0010111000...           -0.1799888611  7.45e-08       
32019   -0.2149120718  0x837048   1|000|0011011100...           -0.2149124146  3.43e-07       
32020   -0.0907656327  0x8173C7   1|000|0001011100...           -0.0907659531  3.20e-07       
32021   -0.0756822005  0x8135FF   1|000|0001001101...           -0.0756826401  4.40e-07       
32022   -0.1856954843  0x82F89C   1|000|0010111110...           -0.1856956482  1.64e-07       
32023   -0.2030652016  0x833FC1   1|000|0011001111...           -0.2030649185  2.83e-07       
32024   -0.0932508186  0x817DF5   1|000|0001011111...           -0.0932512283  4.10e-07       
32025   0.2112148106   0x036123   0|000|0011011000...           0.2112150192   2.09e-07       
32026   0.1088218018   0x01BDBC   0|000|0001101111...           0.1088218689   6.71e-08       
32027   -0.1360286027  0x822D2C   1|000|0010001011...           -0.1360282898  3.13e-07       
32028   -0.1736617237  0x82C752   1|000|0010110001...           -0.1736621857  4.62e-07       
32029   0.1906487793   0x030CE6   0|000|0011000011...           0.1906490326   2.53e-07       
32030   -0.1012862399  0x819EDE   1|000|0001100111...           -0.1012859344  3.05e-07       
32031   -0.1376187205  0x8233B0   1|000|0010001100...           -0.1376190186  2.98e-07       
32032   0.0947787985   0x018437   0|000|0001100001...           0.0947790146   2.16e-07       
32033   -0.1243608445  0x81FD62   1|000|0001111111...           -0.1243610382  1.94e-07       
32034   -0.0167018324  0x804469   1|000|0000010001...           -0.0167016983  1.34e-07       
32035   0.1801837236   0x02E208   0|000|0010111000...           0.1801834106   3.13e-07       
32036   0.1906617284   0x030CF3   0|000|0011000011...           0.1906614304   2.98e-07       
32037   -0.0628195331  0x81014F   1|000|0001000000...           -0.0628194809  5.22e-08       
32038   -0.1210021079  0x81EFA0   1|000|0001111011...           -0.1210021973  8.94e-08       
32039   -0.0570850894  0x80E9D2   1|000|0000111010...           -0.0570850372  5.22e-08       
32040   -0.1849973798  0x82F5C0   1|000|0010111101...           -0.1849975586  1.79e-07       
32041   0.1306354851   0x021715   0|000|0010000101...           0.1306352615   2.24e-07       
32042   -0.0733787045  0x812C8F   1|000|0001001011...           -0.0733785629  1.42e-07       
32043   -0.0697044879  0x811D82   1|000|0001000111...           -0.0697040558  4.32e-07       
32044   0.2546113133   0x0412E3   0|000|0100000100...           0.2546110153   2.98e-07       
32045   0.0051257443   0x0014FF   0|000|0000000101...           0.0051259995   2.55e-07       
32046   -0.2293232232  0x83AB4F   1|000|0011101010...           -0.2293233871  1.64e-07       
32047   -0.1045754850  0x81AC57   1|000|0001101011...           -0.1045751572  3.28e-07       
32048   0.0892715156   0x016DA8   0|000|0001011011...           0.0892715454   2.98e-08       
32049   -0.1191742793  0x81E823   1|000|0001111010...           -0.1191740036  2.76e-07       
32050   -0.1052297279  0x81AF05   1|000|0001101011...           -0.1052293777  3.50e-07       
32051   0.1719620675   0x02C05B   0|000|0010110000...           0.1719617844   2.83e-07       
32052   0.1289396137   0x021023   0|000|0010000100...           0.1289396286   1.49e-08       
32053   -0.0406841300  0x80A6A4   1|000|0000101001...           -0.0406837463  3.84e-07       
32054   0.0865335464   0x016271   0|000|0001011000...           0.0865335464   4.78e-11       
32055   0.0059052985   0x001830   0|000|0000000110...           0.0059051514   1.47e-07       
32056   0.1630284935   0x029BC4   0|000|0010100110...           0.1630287170   2.24e-07       
32057   0.0237005670   0x006114   0|000|0000011000...           0.0237007141   1.47e-07       
32058   -0.0041532805  0x801103   1|000|0000000100...           -0.0041532516  2.89e-08       
32059   0.1805447936   0x02E383   0|000|0010111000...           0.1805448532   5.96e-08       
32060   -0.1862924546  0x82FB0E   1|000|0010111110...           -0.1862926483  1.94e-07       
32061   -0.0746992603  0x8131F8   1|000|0001001100...           -0.0746994019  1.42e-07       
32062   -0.1374874115  0x823326   1|000|0010001100...           -0.1374874115  9.77e-13       
32063   -0.2313809544  0x83B3BD   1|000|0011101100...           -0.2313814163  4.62e-07       
32064   0.1559055895   0x027E97   0|000|0010011111...           0.1559057236   1.34e-07       
32065   -0.1181313992  0x81E3DE   1|000|0001111000...           -0.1181316376  2.38e-07       
32066   -0.0645731539  0x81087E   1|000|0001000010...           -0.0645732880  1.34e-07       
32067   0.0475045666   0x00C294   0|000|0000110000...           0.0475044250   1.42e-07       
32068   0.0704727545   0x0120A8   0|000|0001001000...           0.0704727173   3.72e-08       
32069   0.1701377779   0x02B8E2   0|000|0010101110...           0.1701374054   3.73e-07       
32070   -0.0756261572  0x8135C4   1|000|0001001101...           -0.0756263733  2.16e-07       
32071   -0.0493644401  0x80CA32   1|000|0000110010...           -0.0493640900  3.50e-07       
32072   0.0321900658   0x0083DA   0|000|0000100000...           0.0321903229   2.57e-07       
32073   -0.2145815641  0x836EED   1|000|0011011011...           -0.2145814896  7.45e-08       
32074   -0.2124215811  0x836614   1|000|0011011001...           -0.2124214172  1.64e-07       
32075   -0.3082640469  0x84EEA6   1|000|0100111011...           -0.3082637787  2.68e-07       
32076   0.2488649637   0x03FB5A   0|000|0011111110...           0.2488651276   1.64e-07       
32077   0.1547899991   0x027A05   0|000|0010011110...           0.1547899246   7.45e-08       
32078   0.2412542403   0x03DC2D   0|000|0011110111...           0.2412538528   3.87e-07       
32079   0.0552216806   0x00E230   0|000|0000111000...           0.0552215576   1.23e-07       
32080   -0.0407783166  0x80A707   1|000|0000101001...           -0.0407781601  1.57e-07       
32081   -0.1653625965  0x82A553   1|000|0010101001...           -0.1653623581  2.38e-07       
32082   -0.0539630614  0x80DD08   1|000|0000110111...           -0.0539627075  3.54e-07       
32083   -0.1271084994  0x8208A3   1|000|0010000010...           -0.1271085739  7.45e-08       
32084   -0.0621508881  0x80FE92   1|000|0000111111...           -0.0621509552  6.71e-08       
32085   -0.0301960260  0x807BAF   1|000|0000011110...           -0.0301961899  1.64e-07       
32086   -0.0646048263  0x81089F   1|000|0001000010...           -0.0646047592  6.71e-08       
32087   0.2273736745   0x03A353   0|000|0011101000...           0.2273740768   4.02e-07       
32088   -0.1563606858  0x828074   1|000|0010100000...           -0.1563606262  5.96e-08       
32089   -0.0582350455  0x80EE88   1|000|0000111011...           -0.0582351685  1.23e-07       
32090   -0.2103875577  0x835DBF   1|000|0011010111...           -0.2103872299  3.28e-07       
32091   0.0360544436   0x0093AE   0|000|0000100100...           0.0360546112   1.68e-07       
32092   0.1136302799   0x01D16E   0|000|0001110100...           0.1136302948   1.49e-08       
32093   -0.2497746199  0x83FF14   1|000|0011111111...           -0.2497749329  3.13e-07       
32094   0.2501915991   0x0400C9   0|000|0100000000...           0.2501916885   8.94e-08       
32095   -0.1213778555  0x81F12A   1|000|0001111100...           -0.1213779449  8.94e-08       
32096   -0.0996092558  0x819800   1|000|0001100110...           -0.0996093750  1.19e-07       
32097   -0.2430182993  0x83E367   1|000|0011111000...           -0.2430181503  1.49e-07       
32098   -0.2754586339  0x846847   1|000|0100011010...           -0.2754583359  2.98e-07       
32099   -0.1519360840  0x826E55   1|000|0010011011...           -0.1519365311  4.47e-07       
32100   -0.0427412428  0x80AF11   1|000|0000101011...           -0.0427408218  4.21e-07       
32101   -0.0485591702  0x80C6E6   1|000|0000110001...           -0.0485591888  1.86e-08       
32102   0.1086820364   0x01BD29   0|000|0001101111...           0.1086816788   3.58e-07       
32103   0.0281296931   0x007338   0|000|0000011100...           0.0281295776   1.15e-07       
32104   0.3436793685   0x057FB6   0|000|0101011111...           0.3436794281   5.96e-08       
32105   -0.0339266844  0x808AF7   1|000|0000100010...           -0.0339269638  2.79e-07       
32106   -0.0424169227  0x80ADBD   1|000|0000101011...           -0.0424165726  3.50e-07       
32107   -0.0470876917  0x80C0DF   1|000|0000110000...           -0.0470876694  2.23e-08       
32108   -0.0819747224  0x814FC5   1|000|0001010011...           -0.0819749832  2.61e-07       
32109   -0.1275694221  0x820A86   1|000|0010000010...           -0.1275691986  2.23e-07       
32110   0.0581269488   0x00EE17   0|000|0000111011...           0.0581274033   4.54e-07       
32111   -0.1715351790  0x82BE9C   1|000|0010101111...           -0.1715354919  3.13e-07       
32112   -0.1258838326  0x82039F   1|000|0010000000...           -0.1258840561  2.23e-07       
32113   -0.0421671718  0x80ACB7   1|000|0000101011...           -0.0421667099  4.62e-07       
32114   0.1387924999   0x02387E   0|000|0010001110...           0.1387920380   4.62e-07       
32115   0.0191633701   0x004E7E   0|000|0000010011...           0.0191631317   2.38e-07       
32116   0.0804225504   0x014969   0|000|0001010010...           0.0804224014   1.49e-07       
32117   0.1316896230   0x021B67   0|000|0010000110...           0.1316900253   4.02e-07       
32118   -0.0054148394  0x80162E   1|000|0000000101...           -0.0054149628  1.23e-07       
32119   -0.0757900774  0x813670   1|000|0001001101...           -0.0757904053  3.28e-07       
32120   0.1322111487   0x021D89   0|000|0010000111...           0.1322107315   4.17e-07       
32121   -0.0709301829  0x812288   1|000|0001001000...           -0.0709304810  2.98e-07       
32122   -0.0254708584  0x806854   1|000|0000011010...           -0.0254707336  1.25e-07       
32123   -0.1099678800  0x81C26E   1|000|0001110000...           -0.1099681854  3.05e-07       
32124   -0.2067043781  0x834EA9   1|000|0011010011...           -0.2067041397  2.38e-07       
32125   0.1376211792   0x0233B2   0|000|0010001100...           0.1376209259   2.53e-07       
32126   0.0897542462   0x016FA2   0|000|0001011011...           0.0897541046   1.42e-07       
32127   -0.0916250721  0x81774C   1|000|0001011101...           -0.0916252136  1.42e-07       
32128   -0.0489857011  0x80C8A5   1|000|0000110010...           -0.0489854813  2.20e-07       
32129   -0.1137738079  0x81D204   1|000|0001110100...           -0.1137733459  4.62e-07       
32130   -0.1024706662  0x81A3B8   1|000|0001101000...           -0.1024703979  2.68e-07       
32131   -0.0069701369  0x801C8D   1|000|0000000111...           -0.0069704056  2.69e-07       
32132   0.0251523834   0x006706   0|000|0000011001...           0.0251522064   1.77e-07       
32133   -0.0450853705  0x80B8AB   1|000|0000101110...           -0.0450849533  4.17e-07       
32134   -0.1043290049  0x81AB55   1|000|0001101010...           -0.1043291092  1.04e-07       
32135   0.1513341367   0x026BDD   0|000|0010011010...           0.1513338089   3.28e-07       
32136   0.0054810108   0x001673   0|000|0000000101...           0.0054807663   2.45e-07       
32137   -0.0533988588  0x80DAB9   1|000|0000110110...           -0.0533990860  2.27e-07       
32138   -0.0165625960  0x8043D7   1|000|0000010000...           -0.0165624619  1.34e-07       
32139   0.1903031170   0x030B7B   0|000|0011000010...           0.1903028488   2.68e-07       
32140   -0.0748135969  0x813270   1|000|0001001100...           -0.0748138428  2.46e-07       
32141   -0.0015761280  0x800675   1|000|0000000001...           -0.0015764236  2.96e-07       
32142   -0.0837207884  0x8156EC   1|000|0001010101...           -0.0837211609  3.72e-07       
32143   -0.0066691688  0x801B51   1|000|0000000110...           -0.0066690445  1.24e-07       
32144   0.1017202735   0x01A0A5   0|000|0001101000...           0.1017198563   4.17e-07       
32145   -0.1153685376  0x81D88D   1|000|0001110110...           -0.1153688431  3.05e-07       
32146   -0.0231647044  0x805EE2   1|000|0000010111...           -0.0231647491  4.47e-08       
32147   -0.1646983176  0x82A29B   1|000|0010101000...           -0.1646986008  2.83e-07       
32148   0.0863308907   0x01619D   0|000|0001011000...           0.0863313675   4.77e-07       
32149   -0.0589560121  0x80F17C   1|000|0000111100...           -0.0589561462  1.34e-07       
32150   0.0124048954   0x0032CF   0|000|0000001100...           0.0124044418   4.54e-07       
32151   0.0547029339   0x00E010   0|000|0000111000...           0.0547027588   1.75e-07       
32152   -0.0761775970  0x813806   1|000|0001001110...           -0.0761775970  4.59e-11       
32153   0.1079017073   0x01B9F7   0|000|0001101110...           0.1079015732   1.34e-07       
32154   0.0137311444   0x00383E   0|000|0000001110...           0.0137310028   1.42e-07       
32155   0.0973749161   0x018ED9   0|000|0001100011...           0.0973749161   2.33e-11       
32156   -0.0849800706  0x815C14   1|000|0001010111...           -0.0849800110  5.96e-08       
32157   0.0821564570   0x015083   0|000|0001010100...           0.0821561813   2.76e-07       
32158   -0.0087422021  0x8023CF   1|000|0000001000...           -0.0087423325  1.30e-07       
32159   0.0674921125   0x011473   0|000|0001000101...           0.0674924850   3.73e-07       
32160   -0.0174606666  0x804785   1|000|0000010001...           -0.0174608231  1.56e-07       
32161   -0.1540530324  0x827700   1|000|0010011101...           -0.1540527344  2.98e-07       
32162   -0.0554600433  0x80E32A   1|000|0000111000...           -0.0554599762  6.71e-08       
32163   -0.0228201635  0x805D79   1|000|0000010111...           -0.0228204727  3.09e-07       
32164   0.0241248850   0x0062D1   0|000|0000011000...           0.0241250992   2.14e-07       
32165   -0.1494406015  0x82641C   1|000|0010011001...           -0.1494407654  1.64e-07       
32166   0.0882057920   0x01694A   0|000|0001011010...           0.0882053375   4.54e-07       
32167   -0.0696599111  0x811D54   1|000|0001000111...           -0.0696601868  2.76e-07       
32168   0.1028010622   0x01A513   0|000|0001101001...           0.1028013229   2.61e-07       
32169   0.0828137621   0x015335   0|000|0001010100...           0.0828142166   4.55e-07       
32170   -0.1565017551  0x828108   1|000|0010100000...           -0.1565017700  1.49e-08       
32171   -0.0995106623  0x819798   1|000|0001100101...           -0.0995101929  4.69e-07       
32172   -0.0106047001  0x802B70   1|000|0000001010...           -0.0106048584  1.58e-07       
32173   0.0361429490   0x00940B   0|000|0000100101...           0.0361433029   3.54e-07       
32174   0.0376072228   0x009A0A   0|000|0000100110...           0.0376071930   2.98e-08       
32175   -0.0975043848  0x818F61   1|000|0001100011...           -0.0975046158  2.31e-07       
32176   0.0433740877   0x00B1A9   0|000|0000101100...           0.0433740616   2.61e-08       
32177   -0.0518004373  0x80D42D   1|000|0000110101...           -0.0518007278  2.91e-07       
