Address    Float           Fixed(Hex)   Fixed(Dec)   Reconstructed   Error       
2701       -0.08905926     FFE9         65513        -0.08984375     7.84490000e-04
2702       -0.10348989     FFE6         65510        -0.10156250     1.92739000e-03
2703       -0.10064534     FFE6         65510        -0.10156250     9.17160000e-04
2704       0.03673765      0009         9            0.03515625      1.58140000e-03
2705       0.01930618      0005         5            0.01953125      2.25070000e-04
2706       -0.22516878     FFC6         65478        -0.22656250     1.39372000e-03
2707       -0.03740770     FFF6         65526        -0.03906250     1.65480000e-03
2708       -0.14025451     FFDC         65500        -0.14062500     3.70490000e-04
2709       -0.23330612     FFC4         65476        -0.23437500     1.06888000e-03
2800       0.18974987      0031         49           0.19140625      1.65638000e-03
2801       -0.09223545     FFE8         65512        -0.09375000     1.51455000e-03
2802       0.16454993      002A         42           0.16406250      4.87430000e-04
2803       0.05539089      000E         14           0.05468750      7.03390000e-04
2804       0.25423649      0041         65           0.25390625      3.30240000e-04
2805       0.05737750      000F         15           0.05859375      1.21625000e-03
2806       -0.14375351     FFDB         65499        -0.14453125     7.77740000e-04
2807       -0.13966219     FFDC         65500        -0.14062500     9.62810000e-04
2808       -0.09117293     FFE9         65513        -0.08984375     1.32918000e-03
2809       -0.20275524     FFCC         65484        -0.20312500     3.69760000e-04
2900       0.15383215      0027         39           0.15234375      1.48840000e-03
2901       -0.07082748     FFEE         65518        -0.07031250     5.14980000e-04
2902       -0.03935921     FFF6         65526        -0.03906250     2.96710000e-04
2903       0.02886596      0007         7            0.02734375      1.52221000e-03
2904       0.24615890      003F         63           0.24609375      6.51500000e-05
2905       -0.04143378     FFF5         65525        -0.04296875     1.53497000e-03
2906       -0.11064939     FFE4         65508        -0.10937500     1.27439000e-03
2907       0.00386854      0001         1            0.00390625      3.77100000e-05
2908       -0.14250217     FFDC         65500        -0.14062500     1.87717000e-03
2909       -0.31263995     FFB0         65456        -0.31250000     1.39950000e-04
3000       0.21721162      0038         56           0.21875000      1.53838000e-03
3001       -0.06455372     FFEF         65519        -0.06640625     1.85253000e-03
3002       -0.07902879     FFEC         65516        -0.07812500     9.03790000e-04
3003       -0.07101157     FFEE         65518        -0.07031250     6.99070000e-04
3004       0.08971363      0017         23           0.08984375      1.30120000e-04
3005       0.09034754      0017         23           0.08984375      5.03790000e-04
3006       -0.07378675     FFED         65517        -0.07421875     4.32000000e-04
3007       -0.03934423     FFF6         65526        -0.03906250     2.81730000e-04
3008       0.11172423      001D         29           0.11328125      1.55702000e-03
3009       -0.16093740     FFD7         65495        -0.16015625     7.81150000e-04
3100       0.10415624      001B         27           0.10546875      1.31251000e-03
3101       -0.10851976     FFE4         65508        -0.10937500     8.55240000e-04
3102       -0.23134908     FFC5         65477        -0.23046875     8.80330000e-04
3103       0.04749964      000C         12           0.04687500      6.24640000e-04
3104       0.13077602      0021         33           0.12890625      1.86977000e-03
3105       0.16686496      002B         43           0.16796875      1.10379000e-03
3106       0.00561395      0001         1            0.00390625      1.70770000e-03
3107       -0.12908119     FFDF         65503        -0.12890625     1.74940000e-04
3108       0.11563944      001E         30           0.11718750      1.54806000e-03
3109       -0.16479880     FFD6         65494        -0.16406250     7.36300000e-04
3200       0.22749886      003A         58           0.22656250      9.36360000e-04
3201       0.12658778      0020         32           0.12500000      1.58778000e-03
3202       0.09985029      001A         26           0.10156250      1.71221000e-03
3203       -0.06781112     FFEF         65519        -0.06640625     1.40487000e-03
3204       0.24934542      0040         64           0.25000000      6.54580000e-04
3205       -0.20024043     FFCD         65485        -0.19921875     1.02168000e-03
3206       0.06157063      0010         16           0.06250000      9.29370000e-04
3207       0.17815286      002E         46           0.17968750      1.53464000e-03
3208       -0.31650984     FFAF         65455        -0.31640625     1.03590000e-04
3209       0.04460150      000B         11           0.04296875      1.63275000e-03
3300       0.17000583      002C         44           0.17187500      1.86917000e-03
3301       -0.04303005     FFF5         65525        -0.04296875     6.13000000e-05
3302       -0.05480185     FFF2         65522        -0.05468750     1.14350000e-04
3303       -0.03817067     FFF6         65526        -0.03906250     8.91830000e-04
3304       0.20929857      0036         54           0.21093750      1.63893000e-03
3305       0.08487406      0016         22           0.08593750      1.06344000e-03
3306       0.04456639      000B         11           0.04296875      1.59764000e-03
3307       0.09818880      0019         25           0.09765625      5.32550000e-04
3308       -0.10539530     FFE5         65509        -0.10546875     7.34500000e-05
3309       -0.03934208     FFF6         65526        -0.03906250     2.79580000e-04
3400       0.46843341      0078         120          0.46875000      3.16590000e-04
3401       0.53456801      0089         137          0.53515625      5.88240000e-04
3402       -0.51290649     FF7D         65405        -0.51171875     1.18774000e-03
3403       0.58407223      0096         150          0.58593750      1.86527000e-03
3404       0.24820285      0040         64           0.25000000      1.79715000e-03
3405       -0.06479425     FFEF         65519        -0.06640625     1.61200000e-03
3406       0.05543607      000E         14           0.05468750      7.48570000e-04
3407       -0.05236948     FFF3         65523        -0.05078125     1.58823000e-03
3408       -0.13455227     FFDE         65502        -0.13281250     1.73977000e-03
3409       -0.41545278     FF96         65430        -0.41406250     1.39028000e-03
3500       0.14436160      0025         37           0.14453125      1.69650000e-04
3501       0.04035643      000A         10           0.03906250      1.29393000e-03
3502       -0.13498139     FFDD         65501        -0.13671875     1.73736000e-03
3503       0.14750330      0026         38           0.14843750      9.34200000e-04
3504       0.12510987      0020         32           0.12500000      1.09870000e-04
3505       0.15145513      0027         39           0.15234375      8.88620000e-04
3506       0.03571980      0009         9            0.03515625      5.63550000e-04
3507       0.00826825      0002         2            0.00781250      4.55750000e-04
3508       -0.00788670     FFFE         65534        -0.00781250     7.42000000e-05
3509       -0.09168939     FFE9         65513        -0.08984375     1.84564000e-03
3600       0.19661421      0032         50           0.19531250      1.30171000e-03
3601       0.12067956      001F         31           0.12109375      4.14190000e-04
3602       -0.10953794     FFE4         65508        -0.10937500     1.62940000e-04
3603       0.11007061      001C         28           0.10937500      6.95610000e-04
3604       0.16287827      002A         42           0.16406250      1.18423000e-03
3605       -0.03768625     FFF6         65526        -0.03906250     1.37625000e-03
3606       -0.09844245     FFE7         65511        -0.09765625     7.86200000e-04
3607       -0.06200559     FFF0         65520        -0.06250000     4.94410000e-04
3608       -0.12389964     FFE0         65504        -0.12500000     1.10036000e-03
3609       -0.12513663     FFE0         65504        -0.12500000     1.36630000e-04
3700       0.01186614      0003         3            0.01171875      1.47390000e-04
3701       -0.13501146     FFDD         65501        -0.13671875     1.70729000e-03
3702       0.02699618      0007         7            0.02734375      3.47570000e-04
3703       0.00533618      0001         1            0.00390625      1.42993000e-03
3704       0.27255890      0046         70           0.27343750      8.78600000e-04
3705       0.12964730      0021         33           0.12890625      7.41050000e-04
3706       0.08455190      0016         22           0.08593750      1.38560000e-03
3707       0.07475357      0013         19           0.07421875      5.34820000e-04
3708       -0.05197171     FFF3         65523        -0.05078125     1.19046000e-03
3709       0.08382131      0015         21           0.08203125      1.79006000e-03
3800       0.06106047      0010         16           0.06250000      1.43953000e-03
3801       0.11657703      001E         30           0.11718750      6.10470000e-04
3802       0.00239281      0001         1            0.00390625      1.51344000e-03
3803       0.11971036      001F         31           0.12109375      1.38339000e-03
3804       0.20032838      0033         51           0.19921875      1.10963000e-03
3805       -0.03329662     FFF7         65527        -0.03515625     1.85963000e-03
3806       -0.05845476     FFF1         65521        -0.05859375     1.38990000e-04
3807       0.02218741      0006         6            0.02343750      1.25009000e-03
3808       0.05108236      000D         13           0.05078125      3.01110000e-04
3809       -0.21004964     FFCA         65482        -0.21093750     8.87860000e-04
3900       0.15000586      0026         38           0.14843750      1.56836000e-03
3901       0.02127078      0005         5            0.01953125      1.73953000e-03
3902       -0.14330417     FFDB         65499        -0.14453125     1.22708000e-03
3903       -0.07987488     FFEC         65516        -0.07812500     1.74988000e-03
3904       0.20647584      0035         53           0.20703125      5.55410000e-04
3905       0.00482056      0001         1            0.00390625      9.14310000e-04
3906       -0.12326439     FFE0         65504        -0.12500000     1.73561000e-03
3907       -0.09808661     FFE7         65511        -0.09765625     4.30360000e-04
3908       -0.03085417     FFF8         65528        -0.03125000     3.95830000e-04
