====================================================================================================
 FULL VERIFICATION FILE - ALL 37,600 VALUES
====================================================================================================

Addr     Row   Col   Float           Hex      Binary               Reconstructed   Error       
207      2     7     0.02773432      0007     0_0000000_00000111   0.02734375      3.91e-04    
208      2     8     -0.05389094     800E     1_0000000_00001110   -0.05468750     7.97e-04    
209      2     9     -0.14374810     8025     1_0000000_00100101   -0.14453125     7.83e-04    
210      2     10    0.02750107      0007     0_0000000_00000111   0.02734375      1.57e-04    
211      2     11    0.25076637      0040     0_0000000_01000000   0.25000000      7.66e-04    
212      2     12    -0.24798955     803F     1_0000000_00111111   -0.24609375     1.90e-03    
213      2     13    -0.22141305     8039     1_0000000_00111001   -0.22265625     1.24e-03    
214      2     14    0.20653273      0035     0_0000000_00110101   0.20703125      4.99e-04    
215      2     15    -0.08865583     8017     1_0000000_00010111   -0.08984375     1.19e-03    
216      2     16    0.14766635      0026     0_0000000_00100110   0.14843750      7.71e-04    
217      2     17    -0.04004477     800A     1_0000000_00001010   -0.03906250     9.82e-04    
218      2     18    -0.24987666     8040     1_0000000_01000000   -0.25000000     1.23e-04    
219      2     19    -0.15584999     8028     1_0000000_00101000   -0.15625000     4.00e-04    
220      2     20    -0.21125299     8036     1_0000000_00110110   -0.21093750     3.15e-04    
221      2     21    -0.06602507     8011     1_0000000_00010001   -0.06640625     3.81e-04    
222      2     22    -0.11709680     801E     1_0000000_00011110   -0.11718750     9.07e-05    
223      2     23    -0.29005307     804A     1_0000000_01001010   -0.28906250     9.91e-04    
224      2     24    -0.25344130     8041     1_0000000_01000001   -0.25390625     4.65e-04    
225      2     25    0.17111912      002C     0_0000000_00101100   0.17187500      7.56e-04    
226      2     26    0.06575550      0011     0_0000000_00010001   0.06640625      6.51e-04    
227      2     27    -0.26668245     8044     1_0000000_01000100   -0.26562500     1.06e-03    
228      2     28    -0.11315298     801D     1_0000000_00011101   -0.11328125     1.28e-04    
229      2     29    0.22831626      003A     0_0000000_00111010   0.22656250      1.75e-03    
230      2     30    0.15958360      0029     0_0000000_00101001   0.16015625      5.73e-04    
231      2     31    -0.00198841     8001     1_0000000_00000001   -0.00390625     1.92e-03    
232      2     32    0.04248673      000B     0_0000000_00001011   0.04296875      4.82e-04    
233      2     33    -0.18976986     8031     1_0000000_00110001   -0.19140625     1.64e-03    
234      2     34    -0.05306515     800E     1_0000000_00001110   -0.05468750     1.62e-03    
235      2     35    0.08265754      0015     0_0000000_00010101   0.08203125      6.26e-04    
236      2     36    0.26381320      0044     0_0000000_01000100   0.26562500      1.81e-03    
237      2     37    -0.06959619     8012     1_0000000_00010010   -0.07031250     7.16e-04    
238      2     38    -0.17958897     802E     1_0000000_00101110   -0.17968750     9.85e-05    
239      2     39    -0.20452245     8034     1_0000000_00110100   -0.20312500     1.40e-03    
240      2     40    -0.16748466     802B     1_0000000_00101011   -0.16796875     4.84e-04    
241      2     41    0.18529746      002F     0_0000000_00101111   0.18359375      1.70e-03    
242      2     42    -0.16010040     8029     1_0000000_00101001   -0.16015625     5.58e-05    
243      2     43    -0.18807775     8030     1_0000000_00110000   -0.18750000     5.78e-04    
244      2     44    0.34734493      0059     0_0000000_01011001   0.34765625      3.11e-04    
245      2     45    -0.23328270     803C     1_0000000_00111100   -0.23437500     1.09e-03    
246      2     46    -0.07267690     8013     1_0000000_00010011   -0.07421875     1.54e-03    
247      2     47    -0.19217026     8031     1_0000000_00110001   -0.19140625     7.64e-04    
248      2     48    0.00788415      0002     0_0000000_00000010   0.00781250      7.16e-05    
249      2     49    -0.21401182     8037     1_0000000_00110111   -0.21484375     8.32e-04    
250      2     50    -0.19991413     8033     1_0000000_00110011   -0.19921875     6.95e-04    
251      2     51    0.31393349      0050     0_0000000_01010000   0.31250000      1.43e-03    
252      2     52    0.08612791      0016     0_0000000_00010110   0.08593750      1.90e-04    
253      2     53    0.17728443      002D     0_0000000_00101101   0.17578125      1.50e-03    
254      2     54    0.04975666      000D     0_0000000_00001101   0.05078125      1.02e-03    
255      2     55    -0.16627228     802B     1_0000000_00101011   -0.16796875     1.70e-03    
256      2     56    0.02789203      0007     0_0000000_00000111   0.02734375      5.48e-04    
257      2     57    0.03210248      0008     0_0000000_00001000   0.03125000      8.52e-04    
258      2     58    -0.19464634     8032     1_0000000_00110010   -0.19531250     6.66e-04    
259      2     59    0.19355533      0032     0_0000000_00110010   0.19531250      1.76e-03    
260      2     60    -0.19066846     8031     1_0000000_00110001   -0.19140625     7.38e-04    
261      2     61    -0.15750273     8028     1_0000000_00101000   -0.15625000     1.25e-03    
262      2     62    -0.18849079     8030     1_0000000_00110000   -0.18750000     9.91e-04    
263      2     63    -0.18154426     802E     1_0000000_00101110   -0.17968750     1.86e-03    
264      2     64    0.14835936      0026     0_0000000_00100110   0.14843750      7.81e-05    
265      2     65    0.03043104      0008     0_0000000_00001000   0.03125000      8.19e-04    
266      2     66    -0.16440636     802A     1_0000000_00101010   -0.16406250     3.44e-04    
267      2     67    0.16714922      002B     0_0000000_00101011   0.16796875      8.20e-04    
268      2     68    -0.10075060     801A     1_0000000_00011010   -0.10156250     8.12e-04    
269      2     69    0.11652686      001E     0_0000000_00011110   0.11718750      6.61e-04    
270      2     70    -0.24000300     803D     1_0000000_00111101   -0.23828125     1.72e-03    
271      2     71    -0.05126499     800D     1_0000000_00001101   -0.05078125     4.84e-04    
272      2     72    0.00902092      0002     0_0000000_00000010   0.00781250      1.21e-03    
273      2     73    -0.10692498     801B     1_0000000_00011011   -0.10546875     1.46e-03    
274      2     74    0.12367743      0020     0_0000000_00100000   0.12500000      1.32e-03    
275      2     75    -0.02295409     8006     1_0000000_00000110   -0.02343750     4.83e-04    
276      2     76    0.13555646      0023     0_0000000_00100011   0.13671875      1.16e-03    
277      2     77    0.07130989      0012     0_0000000_00010010   0.07031250      9.97e-04    
278      2     78    0.27568838      0047     0_0000000_01000111   0.27734375      1.66e-03    
279      2     79    0.04541368      000C     0_0000000_00001100   0.04687500      1.46e-03    
280      2     80    -0.22971332     803B     1_0000000_00111011   -0.23046875     7.55e-04    
281      2     81    0.15613303      0028     0_0000000_00101000   0.15625000      1.17e-04    
282      2     82    -0.02507897     8006     1_0000000_00000110   -0.02343750     1.64e-03    
283      2     83    -0.22805905     803A     1_0000000_00111010   -0.22656250     1.50e-03    
284      2     84    0.01228815      0003     0_0000000_00000011   0.01171875      5.69e-04    
285      2     85    -0.20565154     8035     1_0000000_00110101   -0.20703125     1.38e-03    
286      2     86    0.19823928      0033     0_0000000_00110011   0.19921875      9.79e-04    
287      2     87    0.26372391      0044     0_0000000_01000100   0.26562500      1.90e-03    
288      2     88    -0.31629437     8051     1_0000000_01010001   -0.31640625     1.12e-04    
289      2     89    0.07024436      0012     0_0000000_00010010   0.07031250      6.81e-05    
290      2     90    -0.33831689     8057     1_0000000_01010111   -0.33984375     1.53e-03    
291      2     91    0.15721667      0028     0_0000000_00101000   0.15625000      9.67e-04    
292      2     92    0.07309891      0013     0_0000000_00010011   0.07421875      1.12e-03    
293      2     93    -0.34855947     8059     1_0000000_01011001   -0.34765625     9.03e-04    
294      2     94    0.35455370      005B     0_0000000_01011011   0.35546875      9.15e-04    
295      2     95    -0.08157819     8015     1_0000000_00010101   -0.08203125     4.53e-04    
296      2     96    -0.01798262     8005     1_0000000_00000101   -0.01953125     1.55e-03    
297      2     97    -0.26161119     8043     1_0000000_01000011   -0.26171875     1.08e-04    
298      2     98    0.35820258      005C     0_0000000_01011100   0.35937500      1.17e-03    
299      2     99    -0.64446300     80A5     1_0000000_10100101   -0.64453125     6.82e-05    
300      3     0     0.13894133      0024     0_0000000_00100100   0.14062500      1.68e-03    
301      3     1     -0.08968645     8017     1_0000000_00010111   -0.08984375     1.57e-04    
302      3     2     -0.09587051     8019     1_0000000_00011001   -0.09765625     1.79e-03    
303      3     3     -0.05800923     800F     1_0000000_00001111   -0.05859375     5.85e-04    
304      3     4     0.15219636      0027     0_0000000_00100111   0.15234375      1.47e-04    
305      3     5     0.20943063      0036     0_0000000_00110110   0.21093750      1.51e-03    
306      3     6     0.04110206      000B     0_0000000_00001011   0.04296875      1.87e-03    
307      3     7     0.09178770      0017     0_0000000_00010111   0.08984375      1.94e-03    
308      3     8     0.04240355      000B     0_0000000_00001011   0.04296875      5.65e-04    
309      3     9     0.14298397      0025     0_0000000_00100101   0.14453125      1.55e-03    
310      3     10    -0.12289584     801F     1_0000000_00011111   -0.12109375     1.80e-03    
311      3     11    0.12662405      0020     0_0000000_00100000   0.12500000      1.62e-03    
312      3     12    0.09866854      0019     0_0000000_00011001   0.09765625      1.01e-03    
313      3     13    0.01967904      0005     0_0000000_00000101   0.01953125      1.48e-04    
314      3     14    -0.07677153     8014     1_0000000_00010100   -0.07812500     1.35e-03    
315      3     15    0.13932149      0024     0_0000000_00100100   0.14062500      1.30e-03    
316      3     16    0.06592821      0011     0_0000000_00010001   0.06640625      4.78e-04    
317      3     17    -0.28320670     8049     1_0000000_01001001   -0.28515625     1.95e-03    
318      3     18    0.02711828      0007     0_0000000_00000111   0.02734375      2.25e-04    
319      3     19    0.06381011      0010     0_0000000_00010000   0.06250000      1.31e-03    
320      3     20    -0.05942421     800F     1_0000000_00001111   -0.05859375     8.30e-04    
321      3     21    0.01580062      0004     0_0000000_00000100   0.01562500      1.76e-04    
322      3     22    0.01597887      0004     0_0000000_00000100   0.01562500      3.54e-04    
323      3     23    0.15317872      0027     0_0000000_00100111   0.15234375      8.35e-04    
324      3     24    0.10794658      001C     0_0000000_00011100   0.10937500      1.43e-03    
325      3     25    -0.18715836     8030     1_0000000_00110000   -0.18750000     3.42e-04    
326      3     26    -0.09665822     8019     1_0000000_00011001   -0.09765625     9.98e-04    
327      3     27    0.04417992      000B     0_0000000_00001011   0.04296875      1.21e-03    
328      3     28    -0.14690915     8026     1_0000000_00100110   -0.14843750     1.53e-03    
329      3     29    0.05148932      000D     0_0000000_00001101   0.05078125      7.08e-04    
330      3     30    -0.04320252     800B     1_0000000_00001011   -0.04296875     2.34e-04    
331      3     31    0.06748998      0011     0_0000000_00010001   0.06640625      1.08e-03    
332      3     32    -0.24930415     8040     1_0000000_01000000   -0.25000000     6.96e-04    
333      3     33    0.23319526      003C     0_0000000_00111100   0.23437500      1.18e-03    
334      3     34    0.16977754      002B     0_0000000_00101011   0.16796875      1.81e-03    
335      3     35    -0.13429034     8022     1_0000000_00100010   -0.13281250     1.48e-03    
336      3     36    -0.07999495     8014     1_0000000_00010100   -0.07812500     1.87e-03    
337      3     37    -0.15691179     8028     1_0000000_00101000   -0.15625000     6.62e-04    
338      3     38    -0.05077580     800D     1_0000000_00001101   -0.05078125     5.45e-06    
339      3     39    0.08796691      0017     0_0000000_00010111   0.08984375      1.88e-03    
340      3     40    0.10381791      001B     0_0000000_00011011   0.10546875      1.65e-03    
